cod6,cod7,nome,populacao
430003,4300034,Aceguá,4170
430005,4300059,Água Santa,3912
430010,4300109,Agudo,16041
430020,4300208,Ajuricaba,6720
430030,4300307,Alecrim,6123
430040,4300406,Alegrete,72409
430045,4300455,Alegria,3651
430047,4300471,Almirante Tamandaré do Sul,1969
430050,4300505,Alpestre,7117
430055,4300554,Alto Alegre,1800
430057,4300570,Alto Feliz,3072
430060,4300604,Alvorada,187315
430063,4300638,Amaral Ferrador,5310
430064,4300646,Ametista do Sul,7650
430066,4300661,André da Rocha,1135
430070,4300703,Anta Gorda,5957
430080,4300802,Antônio Prado,13045
430085,4300851,Arambaré,4112
430087,4300877,Araricá,8525
430090,4300901,Aratiba,6483
430100,4301008,Arroio do Meio,21958
430105,4301057,Arroio do Sal,11057
430107,4301073,Arroio do Padre,2599
430110,4301107,Arroio dos Ratos,14601
430120,4301206,Arroio do Tigre,12058
430130,4301305,Arroio Grande,17558
430140,4301404,Arvorezinha,10322
430150,4301503,Augusto Pestana,7149
430155,4301552,Áurea,3396
430160,4301602,Bagé,117938
430163,4301636,Balneário Pinhal,14955
430165,4301651,Barão,6461
430170,4301701,Barão de Cotegipe,7144
430175,4301750,Barão do Triunfo,5889
430180,4301800,Barracão,4831
430185,4301859,Barra do Guarita,3161
430187,4301875,Barra do Quaraí,4241
430190,4301909,Barra do Ribeiro,12225
430192,4301925,Barra do Rio Azul,1696
430195,4301958,Barra Funda,2498
430200,4302006,Barros Cassal,9296
430205,4302055,Benjamin Constant do Sul,2082
430210,4302105,Bento Gonçalves,123151
430215,4302154,Boa Vista das Missões,1933
430220,4302204,Boa Vista do Buricá,6966
430222,4302220,Boa Vista do Cadeado,2229
430223,4302238,Boa Vista do Incra,2271
430225,4302253,Boa Vista do Sul,2779
430230,4302303,Bom Jesus,11202
430235,4302352,Bom Princípio,13142
430237,4302378,Bom Progresso,2096
430240,4302402,Bom Retiro do Sul,12294
430245,4302451,Boqueirão do Leão,6247
430250,4302501,Bossoroca,5890
430258,4302584,Bozano,2151
430260,4302600,Braga,3268
430265,4302659,Brochier,4966
430270,4302709,Butiá,19084
430280,4302808,Caçapava do Sul,32515
430290,4302907,Cacequi,11157
430300,4303004,Cachoeira do Sul,80070
430310,4303103,Cachoeirinha,136258
430320,4303202,Cacique Doble,4603
430330,4303301,Caibaté,4704
430340,4303400,Caiçara,4836
430350,4303509,Camaquã,62200
430355,4303558,Camargo,2981
430360,4303608,Cambará do Sul,6361
430367,4303673,Campestre da Serra,3242
430370,4303707,Campina das Missões,5882
430380,4303806,Campinas do Sul,5284
430390,4303905,Campo Bom,62886
430400,4304002,Campo Novo,4975
430410,4304101,Campos Borges,3613
430420,4304200,Candelária,28906
430430,4304309,Cândido Godói,6294
430435,4304358,Candiota,10710
430440,4304408,Canela,48946
430450,4304507,Canguçu,49680
430460,4304606,Canoas,347657
430461,4304614,Canudos do Vale,1656
430462,4304622,Capão Bonito do Sul,1733
430463,4304630,Capão da Canoa,63594
430465,4304655,Capão do Cipó,3119
430466,4304663,Capão do Leão,26487
430467,4304671,Capivari do Sul,3991
430468,4304689,Capela de Santana,11159
430469,4304697,Capitão,2921
430470,4304705,Carazinho,61804
430471,4304713,Caraá,7394
430480,4304804,Carlos Barbosa,30420
430485,4304853,Carlos Gomes,1368
430490,4304903,Casca,9465
430495,4304952,Caseiros,3000
430500,4305009,Catuípe,8674
430510,4305108,Caxias do Sul,463501
430511,4305116,Centenário,2721
430512,4305124,Cerrito,5808
430513,4305132,Cerro Branco,3802
430515,4305157,Cerro Grande,2379
430517,4305173,Cerro Grande do Sul,9178
430520,4305207,Cerro Largo,13705
430530,4305306,Chapada,9540
430535,4305355,Charqueadas,35012
430537,4305371,Charrua,2768
430540,4305405,Chiapetta,3913
430543,4305439,Chuí,6262
430544,4305447,Chuvisca,4597
430545,4305454,Cidreira,17071
430550,4305504,Ciríaco,4149
430558,4305587,Colinas,2423
430560,4305603,Colorado,3258
430570,4305702,Condor,6406
430580,4305801,Constantina,10385
430583,4305835,Coqueiro Baixo,1290
430585,4305850,Coqueiros do Sul,2211
430587,4305871,Coronel Barros,2822
430590,4305900,Coronel Bicaco,6144
430593,4305934,Coronel Pilar,1607
430595,4305959,Cotiporã,3846
430597,4305975,Coxilha,2667
430600,4306007,Crissiumal,12886
430605,4306056,Cristal,7299
430607,4306072,Cristal do Sul,2692
430610,4306106,Cruz Alta,58913
430613,4306130,Cruzaltense,1635
430620,4306205,Cruzeiro do Sul,11600
430630,4306304,David Canabarro,4321
430632,4306320,Derrubadas,2751
430635,4306353,Dezesseis de Novembro,2507
430637,4306379,Dilermando de Aguiar,2806
430640,4306403,Dois Irmãos,30709
430642,4306429,Dois Irmãos das Missões,2090
430645,4306452,Dois Lajeados,3097
430650,4306502,Dom Feliciano,13051
430655,4306551,Dom Pedro de Alcântara,2562
430660,4306601,Dom Pedrito,36981
430670,4306700,Dona Francisca,3079
430673,4306734,Doutor Maurício Cardoso,4470
430675,4306759,Doutor Ricardo,1888
430676,4306767,Eldorado do Sul,39559
430680,4306809,Encantado,22962
430690,4306908,Encruzilhada do Sul,23819
430692,4306924,Engenho Velho,1296
430693,4306932,Entre-Ijuís,9158
430695,4306957,Entre Rios do Sul,2685
430697,4306973,Erebango,3054
430700,4307005,Erechim,105705
430705,4307054,Ernestina,3034
430710,4307104,Herval,6191
430720,4307203,Erval Grande,4930
430730,4307302,Erval Seco,6787
430740,4307401,Esmeralda,3195
430745,4307450,Esperança do Sul,3226
430750,4307500,Espumoso,15173
430755,4307559,Estação,5582
430760,4307609,Estância Velha,47924
430770,4307708,Esteio,76137
430780,4307807,Estrela,32183
430781,4307815,Estrela Velha,3070
430783,4307831,Eugênio de Castro,2633
430786,4307864,Fagundes Varela,2566
430790,4307906,Farroupilha,70286
430800,4308003,Faxinal do Soturno,6702
430805,4308052,Faxinalzinho,2520
430807,4308078,Fazenda Vilanova,4291
430810,4308102,Feliz,13764
430820,4308201,Flores da Cunha,30892
430825,4308250,Floriano Peixoto,1668
430830,4308300,Fontoura Xavier,9550
430840,4308409,Formigueiro,6413
430843,4308433,Forquetinha,2393
430845,4308458,Fortaleza dos Valos,4477
430850,4308508,Frederico Westphalen,32627
430860,4308607,Garibaldi,34335
430865,4308656,Garruchos,2688
430870,4308706,Gaurama,5665
430880,4308805,General Câmara,7612
430885,4308854,Gentil,1744
430890,4308904,Getúlio Vargas,16602
430900,4309001,Giruá,16013
430905,4309050,Glorinha,7658
430910,4309100,Gramado,40134
430912,4309126,Gramado dos Loureiros,2014
430915,4309159,Gramado Xavier,3304
430920,4309209,Gravataí,265074
430925,4309258,Guabiju,1417
430930,4309308,Guaíba,92924
430940,4309407,Guaporé,25268
430950,4309506,Guarani das Missões,7415
430955,4309555,Harmonia,5378
430957,4309571,Herveiras,2565
430960,4309605,Horizontina,18851
430965,4309654,Hulha Negra,5976
430970,4309704,Humaitá,4681
430975,4309753,Ibarama,3732
430980,4309803,Ibiaçá,4527
430990,4309902,Ibiraiaras,6776
430995,4309951,Ibirapuitã,3723
431000,4310009,Ibirubá,21583
431010,4310108,Igrejinha,32808
431020,4310207,Ijuí,84780
431030,4310306,Ilópolis,4157
431033,4310330,Imbé,26824
431036,4310363,Imigrante,3080
431040,4310405,Independência,6427
431041,4310413,Inhacorá,2014
431043,4310439,Ipê,5399
431046,4310462,Ipiranga do Sul,1720
431050,4310504,Iraí,7482
431053,4310538,Itaara,5572
431055,4310553,Itacurubi,2995
431057,4310579,Itapuca,1937
431060,4310603,Itaqui,35768
431065,4310652,Itati,2638
431070,4310702,Itatiba do Sul,3208
431075,4310751,Ivorá,1929
431080,4310801,Ivoti,22983
431085,4310850,Jaboticaba,3779
431087,4310876,Jacuizinho,2040
431090,4310900,Jacutinga,3338
431100,4311007,Jaguarão,26603
431110,4311106,Jaguari,10579
431112,4311122,Jaquirana,3690
431113,4311130,Jari,3349
431115,4311155,Jóia,7184
431120,4311205,Júlio de Castilhos,18226
431123,4311239,Lagoa Bonita do Sul,2251
431125,4311254,Lagoão,5341
431127,4311270,Lagoa dos Três Cantos,1738
431130,4311304,Lagoa Vermelha,27659
431140,4311403,Lajeado,93646
431142,4311429,Lajeado do Bugre,2601
431150,4311502,Lavras do Sul,7157
431160,4311601,Liberato Salzano,4781
431162,4311627,Lindolfo Collor,6248
431164,4311643,Linha Nova,1683
431170,4311700,Machadinho,5735
431171,4311718,Maçambará,4425
431173,4311734,Mampituba,3131
431175,4311759,Manoel Viana,6801
431177,4311775,Maquiné,7418
431179,4311791,Maratá,2470
431180,4311809,Marau,45124
431190,4311908,Marcelino Ramos,4320
431198,4311981,Mariana Pimentel,3916
431200,4312005,Mariano Moro,1858
431205,4312054,Marques de Souza,3969
431210,4312104,Mata,4698
431213,4312138,Mato Castelhano,2553
431215,4312153,Mato Leitão,4859
431217,4312179,Mato Queimado,1795
431220,4312203,Maximiliano de Almeida,4191
431225,4312252,Minas do Leão,7505
431230,4312302,Miraguaí,4427
431235,4312351,Montauri,1499
431237,4312377,Monte Alegre dos Campos,3180
431238,4312385,Monte Belo do Sul,2557
431240,4312401,Montenegro,64322
431242,4312427,Mormaço,2756
431244,4312443,Morrinhos do Sul,3071
431245,4312450,Morro Redondo,6046
431247,4312476,Morro Reuter,6029
431250,4312500,Mostardas,12090
431260,4312609,Muçum,4601
431261,4312617,Muitos Capões,2879
431262,4312625,Muliterno,1721
431265,4312658,Não-Me-Toque,17898
431267,4312674,Nicolau Vergueiro,1932
431270,4312708,Nonoai,13719
431275,4312757,Nova Alvorada,3163
431280,4312807,Nova Araçá,4954
431290,4312906,Nova Bassano,9649
431295,4312955,Nova Boa Vista,2042
431300,4313003,Nova Bréscia,3044
431301,4313011,Nova Candelária,3061
431303,4313037,Nova Esperança do Sul,4865
431306,4313060,Nova Hartz,20088
431308,4313086,Nova Pádua,2343
431310,4313102,Nova Palma,5586
431320,4313201,Nova Petrópolis,23300
431330,4313300,Nova Prata,25692
431333,4313334,Nova Ramada,2163
431335,4313359,Nova Roma do Sul,3466
431337,4313375,Nova Santa Rita,29024
431339,4313391,Novo Cabrais,3568
431340,4313409,Novo Hamburgo,227646
431342,4313425,Novo Machado,3198
431344,4313441,Novo Tiradentes,2146
431346,4313466,Novo Xingu,1646
431349,4313490,Novo Barreiro,4272
431350,4313508,Osório,47396
431360,4313607,Paim Filho,3629
431365,4313656,Palmares do Sul,12844
431370,4313706,Palmeira das Missões,33216
431380,4313805,Palmitinho,7839
431390,4313904,Panambi,43515
431395,4313953,Pantano Grande,10212
431400,4314001,Paraí,7194
431402,4314027,Paraíso do Sul,6519
431403,4314035,Pareci Novo,4319
431405,4314050,Parobé,52058
431406,4314068,Passa Sete,3983
431407,4314076,Passo do Sobrado,6025
431410,4314100,Passo Fundo,206215
431413,4314134,Paulo Bento,2144
431415,4314159,Paverama,7978
431417,4314175,Pedras Altas,2061
431420,4314209,Pedro Osório,7484
431430,4314308,Pejuçara,3745
431440,4314407,Pelotas,325685
431442,4314423,Picada Café,5351
431445,4314456,Pinhal,2959
431446,4314464,Pinhal da Serra,2248
431447,4314472,Pinhal Grande,3805
431449,4314498,Pinheirinho do Vale,4540
431450,4314506,Pinheiro Machado,11214
431454,4314548,Pinto Bandeira,2723
431455,4314555,Pirapó,2260
431460,4314605,Piratini,17504
431470,4314704,Planalto,10406
431475,4314753,Poço das Antas,2171
431477,4314779,Pontão,3296
431478,4314787,Ponte Preta,1575
431480,4314803,Portão,34071
431490,4314902,Porto Alegre,1332845
431500,4315008,Porto Lucena,4360
431505,4315057,Porto Mauá,2142
431507,4315073,Porto Vera Cruz,1560
431510,4315107,Porto Xavier,9938
431513,4315131,Pouso Novo,1739
431514,4315149,Presidente Lucena,3077
431515,4315156,Progresso,5340
431517,4315172,Protásio Alves,2025
431520,4315206,Putinga,3747
431530,4315305,Quaraí,23500
431531,4315313,Quatro Irmãos,1552
431532,4315321,Quevedos,2507
431535,4315354,Quinze de Novembro,3910
431540,4315404,Redentora,9738
431545,4315453,Relvado,1796
431550,4315503,Restinga Sêca,14939
431555,4315552,Rio dos Índios,2835
431560,4315602,Rio Grande,191900
431570,4315701,Rio Pardo,34654
431575,4315750,Riozinho,4473
431580,4315800,Roca Sales,10418
431590,4315909,Rodeio Bonito,6654
431595,4315958,Rolador,2291
431600,4316006,Rolante,21253
431610,4316105,Ronda Alta,9777
431620,4316204,Rondinha,4991
431630,4316303,Roque Gonzales,6576
431640,4316402,Rosário do Sul,36630
431642,4316428,Sagrada Família,2480
431643,4316436,Saldanha Marinho,2575
431645,4316451,Salto do Jacuí,10203
431647,4316477,Salvador das Missões,2877
431650,4316501,Salvador do Sul,6879
431660,4316600,Sananduva,16399
431670,4316709,Santa Bárbara do Sul,8122
431673,4316733,Santa Cecília do Sul,1674
431675,4316758,Santa Clara do Sul,6887
431680,4316808,Santa Cruz do Sul,133230
431690,4316907,Santa Maria,271735
431695,4316956,Santa Maria do Herval,6340
431697,4316972,Santa Margarida do Sul,2596
431700,4317004,Santana da Boa Vista,7024
431710,4317103,Sant'Ana do Livramento,84421
431720,4317202,Santa Rosa,76963
431725,4317251,Santa Tereza,1505
431730,4317301,Santa Vitória do Palmar,30983
431740,4317400,Santiago,48938
431750,4317509,Santo Ângelo,76917
431755,4317558,Santo Antônio do Palma,2091
431760,4317608,Santo Antônio da Patrulha,42947
431770,4317707,Santo Antônio das Missões,10300
431775,4317756,Santo Antônio do Planalto,2089
431780,4317806,Santo Augusto,13902
431790,4317905,Santo Cristo,15320
431795,4317954,Santo Expedito do Sul,2349
431800,4318002,São Borja,59676
431805,4318051,São Domingos do Sul,2754
431810,4318101,São Francisco de Assis,17618
431820,4318200,São Francisco de Paula,21893
431830,4318309,São Gabriel,58487
431840,4318408,São Jerônimo,21028
431842,4318424,São João da Urtiga,4461
431843,4318432,São João do Polêsine,2649
431844,4318440,São Jorge,2912
431845,4318457,São José das Missões,2362
431846,4318465,São José do Herval,1902
431848,4318481,São José do Hortêncio,4447
431849,4318499,São José do Inhacorá,2406
431850,4318507,São José do Norte,25443
431860,4318606,São José do Ouro,6834
431861,4318614,São José do Sul,2380
431862,4318622,São José dos Ausentes,4172
431870,4318705,São Leopoldo,217409
431880,4318804,São Lourenço do Sul,41989
431890,4318903,São Luiz Gonzaga,34752
431900,4319000,São Marcos,21084
431910,4319109,São Martinho,5481
431912,4319125,São Martinho da Serra,2860
431915,4319158,São Miguel das Missões,7056
431920,4319208,São Nicolau,5118
431930,4319307,São Paulo das Missões,5846
431935,4319356,São Pedro da Serra,3548
431936,4319364,São Pedro das Missões,1757
431937,4319372,São Pedro do Butiá,3070
431940,4319406,São Pedro do Sul,15577
431950,4319505,São Sebastião do Caí,24428
431960,4319604,São Sepé,21219
431970,4319703,São Valentim,3264
431971,4319711,São Valentim do Sul,2207
431973,4319737,São Valério do Sul,2543
431975,4319752,São Vendelino,2251
431980,4319802,São Vicente do Sul,8097
431990,4319901,Sapiranga,75648
432000,4320008,Sapucaia do Sul,132107
432010,4320107,Sarandi,22851
432020,4320206,Seberi,11950
432023,4320230,Sede Nova,2704
432026,4320263,Segredo,6009
432030,4320305,Selbach,5107
432032,4320321,Senador Salgado Filho,2673
432035,4320354,Sentinela do Sul,5306
432040,4320404,Serafina Corrêa,16961
432045,4320453,Sério,1941
432050,4320503,Sertão,5541
432055,4320552,Sertão Santana,5863
432057,4320578,Sete de Setembro,1830
432060,4320602,Severiano de Almeida,3406
432065,4320651,Silveira Martins,2028
432067,4320677,Sinimbu,8578
432070,4320701,Sobradinho,14226
432080,4320800,Soledade,29991
432085,4320859,Tabaí,4461
432090,4320909,Tapejara,24557
432100,4321006,Tapera,10592
432110,4321105,Tapes,14695
432120,4321204,Taquara,53242
432130,4321303,Taquari,25198
432132,4321329,Taquaruçu do Sul,3119
432135,4321352,Tavares,5212
432140,4321402,Tenente Portela,14497
432143,4321436,Terra de Areia,10334
432145,4321451,Teutônia,32797
432146,4321469,Tio Hugo,3267
432147,4321477,Tiradentes do Sul,5129
432149,4321493,Toropi,2554
432150,4321501,Torres,41751
432160,4321600,Tramandaí,54387
432162,4321626,Travesseiro,2152
432163,4321634,Três Arroios,2591
432166,4321667,Três Cachoeiras,10962
432170,4321709,Três Coroas,24425
432180,4321808,Três de Maio,24916
432183,4321832,Três Forquilhas,2760
432185,4321857,Três Palmeiras,4716
432190,4321907,Três Passos,25436
432195,4321956,Trindade do Sul,7556
432200,4322004,Triunfo,27498
432210,4322103,Tucunduva,5542
432215,4322152,Tunas,3681
432218,4322186,Tupanci do Sul,1374
432220,4322202,Tupanciretã,20005
432225,4322251,Tupandi,5029
432230,4322301,Tuparendi,8363
432232,4322327,Turuçu,3419
432234,4322343,Ubiretama,1994
432235,4322350,União da Serra,1170
432237,4322376,Unistalda,1995
432240,4322400,Uruguaiana,117210
432250,4322509,Vacaria,64197
432252,4322525,Vale Verde,3150
432253,4322533,Vale do Sol,9897
432254,4322541,Vale Real,6058
432255,4322558,Vanini,2004
432260,4322608,Venâncio Aires,68763
432270,4322707,Vera Cruz,26710
432280,4322806,Veranópolis,24021
432285,4322855,Vespasiano Corrêa,1818
432290,4322905,Viadutos,4769
432300,4323002,Viamão,224112
432310,4323101,Vicente Dutra,4665
432320,4323200,Victor Graeff,2780
432330,4323309,Vila Flores,3646
432335,4323358,Vila Lângaro,2079
432340,4323408,Vila Maria,4413
432345,4323457,Vila Nova do Sul,3863
432350,4323507,Vista Alegre,2660
432360,4323606,Vista Alegre do Prata,1590
432370,4323705,Vista Gaúcha,2783
432375,4323754,Vitória das Missões,3260
432377,4323770,Westfália,3098
432380,4323804,Xangri-lá,16463
